time	I	U	El
2E-06	12.9076534294257	1399.92224305163	374.284985113524
4E-06	22.6239651734777	1399.70819715643	583.922452884208
1.4E-05	60.6207373115594	1397.19035209918	653.905881638226
2.4E-05	100.975548826241	1392.33519899354	592.797765480282
3.4E-05	142.45594389546	1385.00332438977	573.641776124014
4.4E-05	183.542319697208	1375.18022147264	568.547894970415
5.4E-05	223.635214833287	1362.91031284559	567.67239472996
6.4E-05	262.486149583332	1348.26167619905	568.294948759271
7.4E-05	299.919702846376	1331.31452318375	569.940847662373
8.4E-05	335.812930289918	1312.15836327655	571.134343041086
9.4E-05	370.087009405176	1290.88833539131	572.15742081437
0.000104	402.66420634126	1267.60430615943	573.345956518462
0.000114	433.463554239131	1242.41099401628	574.293311382682
0.000124	462.410140838488	1215.41773566141	575.354407079376
0.000134	489.43505978176	1186.73829695592	576.386174895731
0.000144	514.477246495127	1156.49030684269	577.483766748368
0.000154	537.48798695966	1124.79470356328	578.237506464306
0.000164	558.427371732316	1091.77514529823	579.083104355708
0.000174	577.26583975565	1057.55735076319	579.603384263938
0.000184	593.982437308066	1022.26853694051	579.924566563429
0.000194	608.566674275724	986.036887185252	579.969526131403
0.000204	621.015929894219	948.990984442339	579.6725720489
0.000214	631.335295594275	911.259313868212	579.068853266216
0.000224	639.535094276884	872.969914818102	578.160584691079
0.000234	645.630639068128	834.250000676561	577.18013982218
0.000244	649.649895891878	795.225639054806	575.516698476858
0.000254	651.636721761327	756.020585926249	573.330498010387
0.000264	651.643316807428	716.755737247094	570.637756303195
0.000274	649.725267288899	677.54875610377	567.319747285786
0.000284	645.944068620879	638.513749072665	563.384501043098
0.000294	640.367841257159	599.760943432027	559.025353358923
0.000304	633.07181463804	561.396237051692	553.940873357438
0.000314	624.134688144993	523.520843997722	548.258720428968
0.000324	613.637024890404	486.231227120003	542.003414748032
0.000334	601.661332800182	449.618901363389	535.302286463308
0.000344	588.291676250844	413.770428347502	528.059494758636
0.000354	573.61708608009	378.767087290976	520.364145448526
0.000364	557.720299412637	344.685027267855	512.155051786526
0.000374	540.702567253506	311.594863275246	503.293442827774
0.000384	522.675679681639	279.560742063287	493.847566219977
0.000394	503.729813533037	248.640751056023	483.878455110647
0.000404	483.980484161206	218.886866554642	473.015540563812
0.000414	463.542899045221	190.343959546298	461.44473703181
0.000424	442.53252170324	163.05005469998	449.059288338717
0.000434	421.065169741207	137.036133411179	436.000692269367
0.000444	399.247265459644	112.326501532695	422.302449114315
0.000454	377.188124742915	88.9389905042393	407.978347093476
0.000464	354.993560248439	66.8849201905411	393.090893034583
0.000474	332.762929006534	46.169412461288	377.783499945297
0.000484	310.585380289019	26.7919059198132	362.230777777199
0.000494	288.541243015656	8.74677404997681	346.418984738719
0.000504	266.730417767799	-7.97688290785273	329.79029586713
0.000514	245.258921264088	-23.3963824821549	312.551231162906
0.000524	224.216740065243	-37.5349390277001	294.902382928118
0.000534	203.687898752236	-50.420962108488	276.827826413426
0.000544	183.751770268741	-62.0877919787944	258.392223206977
0.000554	164.483392541578	-72.5734138082566	239.61188744436
0.000564	145.9505571714	-81.9201549396908	220.631106156667
0.000574	128.211002396375	-90.1740688994036	201.467616272786
0.000584	111.320733322177	-97.3846595552743	182.143405242341
0.000594	95.3278728901664	-103.604591479583	162.797345093462
0.000605	78.8137154794426	-109.363745121724	141.810874722579
0.000625	51.8610488375157	-117.194525957731	102.085894510081
0.000677	1.79331464322992	-124.848019848732	4.27737931559882
0.000737	-24.8865789080074	-119.857012969222	-68.5653689945644
0.000769	-30.232815571077	-114.474438290699	-87.3999890188054
0.000789	-31.7169752780514	-110.73128781981	-93.8711928171221
0.000809	-32.2374854178676	-106.870580127454	-97.4444948682201
0.000829	-32.0792130914657	-102.990537394569	-98.8308209540617
0.000849	-31.4590408338208	-99.1592146103678	-98.6632506159452
0.000881	-29.8834877554712	-93.2381609469761	-96.2742583760132
0.000941	-26.1558618399176	-83.096910771401	-88.5555363400242
0.001	-22.4584043572991	-74.4658060721741	-79.9872078168331
0.00106	-19.1156666464509	-66.9674552797349	-71.7784047982966
0.00112	-16.286137416052	-60.5850865482857	-64.5019138631437
0.00118	-13.9450803578113	-55.1351318302263	-58.2345035114661
0.00124	-11.9317096955403	-50.2934214407983	-52.6259472852291
0.0013	-9.93867663449441	-45.4885001321531	-47.0505574799477
0.00136	-7.94564357344848	-40.6835788235076	-41.4751676746655
0.00142	-5.95261051240254	-35.8786575148633	-35.8997778693847
0.00148	-3.95957745135661	-31.0737362062191	-30.324388064103
0.00154	-1.96654439031045	-26.268814897574	-24.7489982588213
0.0016	0.0264886707350342	-21.4638935889288	-19.1736084535405
0.00166	2.01952173178097	-16.6589722802837	-13.5982186482579
0.00172	4.0125547928269	-11.8540509716404	-8.02282884297711
0.00178	6.00558785387284	-7.04912966299526	-2.44743903769631
0.00184	7.99862091491923	-2.24420835434648	3.1279507675863
0.0019	9.99165397596425	2.56071295429501	8.70334057286527
0.00196	11.9846870370111	7.36563426294015	14.2787303781479
0.00202	13.977720098057	12.1705555715853	19.8541201834305
